locus_tag	ftype	length_bp	gene	EC_number	COG	product
53965_StreptomycesisolateR1_00047	CDS	804	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
53965_StreptomycesisolateR1_00048	CDS	261				hypothetical protein
53965_StreptomycesisolateR1_00049	CDS	1599	ybiT_1		COG0488	Uncharacterized ABC transporter ATP-binding protein YbiT
53965_StreptomycesisolateR1_00050	CDS	414				hypothetical protein
53965_StreptomycesisolateR1_00051	CDS	1266				hypothetical protein
53965_StreptomycesisolateR1_00052	CDS	1128				hypothetical protein
53965_StreptomycesisolateR1_00053	CDS	723	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
53965_StreptomycesisolateR1_00054	CDS	1254				hypothetical protein
53965_StreptomycesisolateR1_00055	CDS	222				hypothetical protein
53965_StreptomycesisolateR1_00056	CDS	990	cobD		COG1270	Cobalamin biosynthesis protein CobD
53965_StreptomycesisolateR1_00057	CDS	1509	cobQ_1		COG1492	Cobyric acid synthase
53965_StreptomycesisolateR1_00058	CDS	3654	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
53965_StreptomycesisolateR1_00059	CDS	2019			COG1239	Uncharacterized protein Rv2850c
53965_StreptomycesisolateR1_00060	CDS	600	cobO	2.5.1.17		Cob(I)yrinic acid a,c-diamide adenosyltransferase
53965_StreptomycesisolateR1_00061	CDS	1479	cobB_1	6.3.5.9	COG1797	Hydrogenobyrinate a,c-diamide synthase
53965_StreptomycesisolateR1_00062	CDS	732	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
53965_StreptomycesisolateR1_00063	CDS	729	zupT			Zinc transporter ZupT
53965_StreptomycesisolateR1_00064	CDS	813	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
53965_StreptomycesisolateR1_00065	CDS	1236	cbiET_1		COG2241	Cobalamin biosynthesis bifunctional protein CbiET
53965_StreptomycesisolateR1_00066	CDS	1797	cysG_1	4.99.1.4		Siroheme synthase
53965_StreptomycesisolateR1_00067	CDS	918	cbiX_1	4.99.1.3		Sirohydrochlorin cobaltochelatase
53965_StreptomycesisolateR1_00068	CDS	1089		2.6.1.-	COG0079	Uncharacterized aminotransferase Rv2231c
53965_StreptomycesisolateR1_00069	CDS	957				hypothetical protein
53965_StreptomycesisolateR1_00070	CDS	1092			COG1228	Uncharacterized protein Rv2915c
53965_StreptomycesisolateR1_00071	CDS	534				hypothetical protein
53965_StreptomycesisolateR1_00072	CDS	1152	ppaT	2.6.1.30	COG0075	Pyridoxamine--pyruvate transaminase
53965_StreptomycesisolateR1_00073	CDS	513	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
53965_StreptomycesisolateR1_00074	CDS	1272	ectB	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
53965_StreptomycesisolateR1_00075	CDS	399	ectC	4.2.1.108		L-ectoine synthase
53965_StreptomycesisolateR1_00076	CDS	897	ectD	1.14.11.55		Ectoine dioxygenase
53965_StreptomycesisolateR1_00077	CDS	1095	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
53965_StreptomycesisolateR1_00078	CDS	714				hypothetical protein
53965_StreptomycesisolateR1_00079	CDS	609				hypothetical protein
53965_StreptomycesisolateR1_00080	CDS	1533	aldH	1.2.1.4		NADP-dependent fatty aldehyde dehydrogenase
53965_StreptomycesisolateR1_00081	CDS	774	iclR_1		COG1414	Transcriptional repressor IclR
53965_StreptomycesisolateR1_00082	CDS	471				hypothetical protein
53965_StreptomycesisolateR1_00083	CDS	1017				hypothetical protein
53965_StreptomycesisolateR1_00084	CDS	1266				hypothetical protein
53965_StreptomycesisolateR1_00085	CDS	660	degU_1		COG2197	Transcriptional regulatory protein DegU
53965_StreptomycesisolateR1_00086	CDS	1455	pbpA_1		COG0768	Penicillin-binding protein A
53965_StreptomycesisolateR1_00087	CDS	576	sigE_1		COG1595	RNA polymerase sigma-E factor
53965_StreptomycesisolateR1_00088	CDS	735				hypothetical protein
53965_StreptomycesisolateR1_00089	CDS	798				hypothetical protein
53965_StreptomycesisolateR1_00090	CDS	1152				hypothetical protein
53965_StreptomycesisolateR1_00091	CDS	1335	pel	4.2.2.2	COG3866	Pectate lyase
53965_StreptomycesisolateR1_00092	CDS	807				hypothetical protein
53965_StreptomycesisolateR1_00093	CDS	1356				hypothetical protein
53965_StreptomycesisolateR1_00094	CDS	1542		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43B
53965_StreptomycesisolateR1_00095	CDS	846				hypothetical protein
53965_StreptomycesisolateR1_00096	CDS	1161				hypothetical protein
53965_StreptomycesisolateR1_00097	CDS	900	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
53965_StreptomycesisolateR1_00098	CDS	936	sugA_1		COG1175	Trehalose transport system permease protein SugA
53965_StreptomycesisolateR1_00099	CDS	1731		4.2.1.162		6-deoxy-6-sulfo-D-gluconate dehydratase
53965_StreptomycesisolateR1_00100	CDS	909		4.2.1.41	COG0329	Probable 5-dehydro-4-deoxyglucarate dehydratase
53965_StreptomycesisolateR1_00101	CDS	669	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
53965_StreptomycesisolateR1_00102	CDS	606				hypothetical protein
53965_StreptomycesisolateR1_00103	CDS	1248				hypothetical protein
53965_StreptomycesisolateR1_00104	CDS	393				hypothetical protein
53965_StreptomycesisolateR1_00105	CDS	1173				hypothetical protein
53965_StreptomycesisolateR1_00106	CDS	951		4.2.1.41	COG0329	Probable 5-dehydro-4-deoxyglucarate dehydratase
53965_StreptomycesisolateR1_00107	CDS	810	udh	1.1.1.203	COG0451	Uronate dehydrogenase
53965_StreptomycesisolateR1_00108	CDS	771	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
53965_StreptomycesisolateR1_00109	CDS	1371				hypothetical protein
53965_StreptomycesisolateR1_00110	CDS	945	sugA_2		COG1175	Trehalose transport system permease protein SugA
53965_StreptomycesisolateR1_00111	CDS	879	ycjP_2		COG0395	Inner membrane ABC transporter permease protein YcjP
53965_StreptomycesisolateR1_00112	CDS	990		1.1.1.301		D-arabitol-phosphate dehydrogenase
53965_StreptomycesisolateR1_00113	CDS	222				hypothetical protein
53965_StreptomycesisolateR1_00114	CDS	1206				hypothetical protein
53965_StreptomycesisolateR1_00115	CDS	543				hypothetical protein
53965_StreptomycesisolateR1_00116	CDS	1017	acdS	3.5.99.7		1-aminocyclopropane-1-carboxylate deaminase
53965_StreptomycesisolateR1_00117	CDS	630				hypothetical protein
53965_StreptomycesisolateR1_00118	CDS	1587				hypothetical protein
53965_StreptomycesisolateR1_00119	CDS	1476				hypothetical protein
53965_StreptomycesisolateR1_00120	CDS	1425				hypothetical protein
53965_StreptomycesisolateR1_00121	CDS	1842				hypothetical protein
53965_StreptomycesisolateR1_00122	CDS	729				hypothetical protein
53965_StreptomycesisolateR1_00123	CDS	465				hypothetical protein
53965_StreptomycesisolateR1_00124	CDS	420				hypothetical protein
53965_StreptomycesisolateR1_00125	CDS	957	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
53965_StreptomycesisolateR1_00126	CDS	234				hypothetical protein
53965_StreptomycesisolateR1_00127	CDS	171				hypothetical protein
53965_StreptomycesisolateR1_00128	CDS	990	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
53965_StreptomycesisolateR1_00129	CDS	594	rcdA_1		COG3226	HTH-type transcriptional regulator RcdA
53965_StreptomycesisolateR1_00130	CDS	321	emrE		COG2076	Multidrug transporter EmrE
53965_StreptomycesisolateR1_00131	CDS	333	sufT			Fe-S protein maturation auxiliary factor SufT
53965_StreptomycesisolateR1_00132	CDS	471	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
53965_StreptomycesisolateR1_00133	CDS	1257	csd	2.8.1.7	COG0520	Probable cysteine desulfurase
53965_StreptomycesisolateR1_00134	CDS	765	sufC		COG0396	Vegetative protein 296
53965_StreptomycesisolateR1_00135	CDS	318	bphA3			Biphenyl 2,3-dioxygenase, ferredoxin component
53965_StreptomycesisolateR1_00136	CDS	1185			COG0719	UPF0051 protein Rv1462
53965_StreptomycesisolateR1_00137	CDS	1422				UPF0051 protein SA0778
53965_StreptomycesisolateR1_00138	CDS	759				hypothetical protein
53965_StreptomycesisolateR1_00139	CDS	789	yokD	2.3.1.-	COG2746	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
53965_StreptomycesisolateR1_00140	CDS	924	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
53965_StreptomycesisolateR1_00141	CDS	807				hypothetical protein
53965_StreptomycesisolateR1_00142	CDS	1071	ctaA	1.3.-.-		Heme A synthase
53965_StreptomycesisolateR1_00143	CDS	744				hypothetical protein
53965_StreptomycesisolateR1_00144	CDS	1107				hypothetical protein
53965_StreptomycesisolateR1_00145	CDS	369				hypothetical protein
53965_StreptomycesisolateR1_00146	CDS	924	ctaB	2.5.1.-	COG0109	Protoheme IX farnesyltransferase
53965_StreptomycesisolateR1_00147	CDS	2088	tkt_1	2.2.1.1	COG0021	Transketolase
53965_StreptomycesisolateR1_00148	CDS	1119	tal_1	2.2.1.2	COG0176	Transaldolase
53965_StreptomycesisolateR1_00149	CDS	1524	zwf2_1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
53965_StreptomycesisolateR1_00150	CDS	1053				hypothetical protein
53965_StreptomycesisolateR1_00151	CDS	786	pgl_1	3.1.1.31	COG0363	6-phosphogluconolactonase
53965_StreptomycesisolateR1_00152	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
53965_StreptomycesisolateR1_00153	CDS	1371				hypothetical protein
53965_StreptomycesisolateR1_00154	CDS	1329				hypothetical protein
53965_StreptomycesisolateR1_00155	CDS	1626	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
53965_StreptomycesisolateR1_00156	CDS	1272			COG1653	Probable ABC transporter-binding protein DR_1438
53965_StreptomycesisolateR1_00157	CDS	516				hypothetical protein
53965_StreptomycesisolateR1_00158	CDS	768	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
53965_StreptomycesisolateR1_00159	CDS	2418				hypothetical protein
53965_StreptomycesisolateR1_00160	CDS	1656	pgi_1	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
53965_StreptomycesisolateR1_00161	CDS	288	rbpA_1			RNA polymerase-binding protein RbpA
53965_StreptomycesisolateR1_00162	CDS	237	secG		COG1314	Probable protein-export membrane protein SecG
53965_StreptomycesisolateR1_00163	CDS	777	tpiA_1	5.3.1.1	COG0149	Triosephosphate isomerase
53965_StreptomycesisolateR1_00164	CDS	1212	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
53965_StreptomycesisolateR1_00165	CDS	1011	gap2_1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
53965_StreptomycesisolateR1_00166	CDS	3000				hypothetical protein
53965_StreptomycesisolateR1_00167	CDS	990	whiA		COG1481	Sporulation transcription regulator WhiA
53965_StreptomycesisolateR1_00168	CDS	1092			COG0391	Putative gluconeogenesis factor
53965_StreptomycesisolateR1_00169	CDS	1017			COG1660	Nucleotide-binding protein Rv1421
53965_StreptomycesisolateR1_00170	CDS	2169	uvrC		COG0322	UvrABC system protein C
53965_StreptomycesisolateR1_00171	CDS	957				hypothetical protein
53965_StreptomycesisolateR1_00172	CDS	426	petC_1	1.10.9.1		Cytochrome b6-f complex iron-sulfur subunit
53965_StreptomycesisolateR1_00173	CDS	1125	purR_1		COG1609	HTH-type transcriptional repressor PurR
53965_StreptomycesisolateR1_00174	CDS	909	scrK	2.7.1.4	COG0524	Fructokinase
53965_StreptomycesisolateR1_00175	CDS	3045	uvrA_1		COG0178	UvrABC system protein A
53965_StreptomycesisolateR1_00176	CDS	687				hypothetical protein
53965_StreptomycesisolateR1_00177	CDS	657	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
53965_StreptomycesisolateR1_00178	CDS	474	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
53965_StreptomycesisolateR1_00179	CDS	1047	mccF_1			Microcin C7 self-immunity protein MccF
53965_StreptomycesisolateR1_00180	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
53965_StreptomycesisolateR1_00181	CDS	1002			COG0861	Uncharacterized membrane protein Rv2723
53965_StreptomycesisolateR1_00182	CDS	2046				hypothetical protein
53965_StreptomycesisolateR1_00183	CDS	579	yceC		COG2310	Stress response protein SCP2
53965_StreptomycesisolateR1_00184	CDS	2139	uvrB_1		COG0556	UvrABC system protein B
53965_StreptomycesisolateR1_00185	CDS	879				hypothetical protein
53965_StreptomycesisolateR1_00186	CDS	870	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
53965_StreptomycesisolateR1_00187	CDS	555	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
53965_StreptomycesisolateR1_00188	CDS	429				hypothetical protein
53965_StreptomycesisolateR1_00189	CDS	909	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
53965_StreptomycesisolateR1_00190	CDS	1008	pfkB	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
53965_StreptomycesisolateR1_00191	CDS	795				hypothetical protein
53965_StreptomycesisolateR1_00192	CDS	633				hypothetical protein
53965_StreptomycesisolateR1_00193	CDS	480				hypothetical protein
53965_StreptomycesisolateR1_00194	CDS	807				hypothetical protein
53965_StreptomycesisolateR1_00195	CDS	276				hypothetical protein
53965_StreptomycesisolateR1_00196	CDS	861				hypothetical protein
53965_StreptomycesisolateR1_00197	CDS	606				hypothetical protein
53965_StreptomycesisolateR1_00198	CDS	435				hypothetical protein
53965_StreptomycesisolateR1_00199	CDS	186				hypothetical protein
53965_StreptomycesisolateR1_00200	CDS	690				hypothetical protein
53965_StreptomycesisolateR1_00201	CDS	1362	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
53965_StreptomycesisolateR1_00202	CDS	1863				hypothetical protein
53965_StreptomycesisolateR1_00203	CDS	414				hypothetical protein
53965_StreptomycesisolateR1_00204	CDS	471				hypothetical protein
53965_StreptomycesisolateR1_00205	CDS	972	pip_1	3.4.11.5		Proline iminopeptidase
53965_StreptomycesisolateR1_00206	CDS	714	udgB	3.2.2.-	COG1573	Type-5 uracil-DNA glycosylase
53965_StreptomycesisolateR1_00207	CDS	504				hypothetical protein
53965_StreptomycesisolateR1_00208	CDS	438				hypothetical protein
53965_StreptomycesisolateR1_00209	CDS	687				hypothetical protein
53965_StreptomycesisolateR1_00210	CDS	258				hypothetical protein
53965_StreptomycesisolateR1_00211	CDS	381				hypothetical protein
53965_StreptomycesisolateR1_00212	CDS	639	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
53965_StreptomycesisolateR1_00213	CDS	939				hypothetical protein
53965_StreptomycesisolateR1_00214	CDS	1509	rpsA		COG0539	30S ribosomal protein S1
53965_StreptomycesisolateR1_00215	CDS	663	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
53965_StreptomycesisolateR1_00216	CDS	2838				hypothetical protein
53965_StreptomycesisolateR1_00217	CDS	1785				hypothetical protein
53965_StreptomycesisolateR1_00218	CDS	369				hypothetical protein
53965_StreptomycesisolateR1_00219	CDS	2724	polA	2.7.7.7	COG0258	DNA polymerase I
53965_StreptomycesisolateR1_00220	CDS	2280		1.-.-.-	COG0243	Uncharacterized oxidoreductase Rv2900c
53965_StreptomycesisolateR1_00221	CDS	489	entH	3.1.2.-		Proofreading thioesterase EntH
53965_StreptomycesisolateR1_00222	CDS	378				hypothetical protein
53965_StreptomycesisolateR1_00223	CDS	597				hypothetical protein
53965_StreptomycesisolateR1_00224	CDS	1239			COG0683	Leu/Ile/Val-binding protein homolog 3
53965_StreptomycesisolateR1_00225	CDS	933	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
53965_StreptomycesisolateR1_00226	CDS	1827				hypothetical protein
53965_StreptomycesisolateR1_00227	CDS	951	btuD_2	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
53965_StreptomycesisolateR1_00228	CDS	717	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
53965_StreptomycesisolateR1_00229	CDS	657	pdtaR		COG3707	Probable transcriptional regulatory protein pdtaR
53965_StreptomycesisolateR1_00230	tRNA	85				tRNA-Leu(caa)
53965_StreptomycesisolateR1_00231	CDS	1437	pyk_1	2.7.1.40	COG0469	Pyruvate kinase
53965_StreptomycesisolateR1_00232	CDS	1815	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
53965_StreptomycesisolateR1_00233	CDS	1413	iucD_1	1.14.13.59	COG3486	L-lysine N6-monooxygenase
53965_StreptomycesisolateR1_00234	CDS	1359	ddc_1	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
53965_StreptomycesisolateR1_00235	CDS	2499	pepN_1	3.4.11.2		Aminopeptidase N
53965_StreptomycesisolateR1_00236	CDS	351				hypothetical protein
53965_StreptomycesisolateR1_00237	CDS	900				hypothetical protein
53965_StreptomycesisolateR1_00238	CDS	636			COG2968	26 kDa periplasmic immunogenic protein
53965_StreptomycesisolateR1_00239	CDS	726				hypothetical protein
53965_StreptomycesisolateR1_00240	CDS	936	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
53965_StreptomycesisolateR1_00241	CDS	921				hypothetical protein
53965_StreptomycesisolateR1_00242	CDS	1464	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
53965_StreptomycesisolateR1_00243	CDS	4596	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
53965_StreptomycesisolateR1_00244	CDS	732				hypothetical protein
53965_StreptomycesisolateR1_00245	CDS	1131				hypothetical protein
53965_StreptomycesisolateR1_00246	CDS	1281				hypothetical protein
53965_StreptomycesisolateR1_00247	CDS	1188				hypothetical protein
53965_StreptomycesisolateR1_00248	CDS	1380				hypothetical protein
53965_StreptomycesisolateR1_00249	CDS	1233	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
53965_StreptomycesisolateR1_00250	CDS	849	mcl2	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
53965_StreptomycesisolateR1_00251	CDS	1044	lgt	2.4.99.-		Prolipoprotein diacylglyceryl transferase
53965_StreptomycesisolateR1_00252	CDS	774				hypothetical protein
53965_StreptomycesisolateR1_00253	CDS	816	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
53965_StreptomycesisolateR1_00254	CDS	1284	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
53965_StreptomycesisolateR1_00255	CDS	810	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
53965_StreptomycesisolateR1_00256	CDS	456				hypothetical protein
53965_StreptomycesisolateR1_00257	CDS	252				hypothetical protein
53965_StreptomycesisolateR1_00258	CDS	648				hypothetical protein
53965_StreptomycesisolateR1_00259	CDS	1536	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
53965_StreptomycesisolateR1_00260	CDS	420	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
53965_StreptomycesisolateR1_00261	CDS	636				hypothetical protein
53965_StreptomycesisolateR1_00262	CDS	1260				hypothetical protein
53965_StreptomycesisolateR1_00263	CDS	756	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
53965_StreptomycesisolateR1_00264	CDS	405				hypothetical protein
53965_StreptomycesisolateR1_00265	CDS	726	priA_1	5.3.1.16	COG0106	Phosphoribosyl isomerase A
53965_StreptomycesisolateR1_00266	CDS	648	hisH	2.4.2.-		Imidazole glycerol phosphate synthase subunit HisH
53965_StreptomycesisolateR1_00267	CDS	165				hypothetical protein
53965_StreptomycesisolateR1_00268	CDS	594	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
53965_StreptomycesisolateR1_00269	CDS	1110	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
53965_StreptomycesisolateR1_00270	CDS	1326	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
53965_StreptomycesisolateR1_00271	CDS	1578				hypothetical protein
53965_StreptomycesisolateR1_00272	CDS	933				hypothetical protein
53965_StreptomycesisolateR1_00273	CDS	741	lon_1	3.4.21.53		Lon protease
53965_StreptomycesisolateR1_00274	CDS	513	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
53965_StreptomycesisolateR1_00275	CDS	561				hypothetical protein
53965_StreptomycesisolateR1_00276	CDS	825				hypothetical protein
53965_StreptomycesisolateR1_00277	CDS	975	btuD_3	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
53965_StreptomycesisolateR1_00278	CDS	1215				hypothetical protein
53965_StreptomycesisolateR1_00279	CDS	168				hypothetical protein
53965_StreptomycesisolateR1_00280	CDS	3540	dnaE1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
53965_StreptomycesisolateR1_00281	CDS	1341				hypothetical protein
53965_StreptomycesisolateR1_00282	CDS	711				hypothetical protein
53965_StreptomycesisolateR1_00283	CDS	801				hypothetical protein
53965_StreptomycesisolateR1_00284	CDS	1674	pld	3.1.4.4		Phospholipase D
53965_StreptomycesisolateR1_00285	CDS	591				hypothetical protein
53965_StreptomycesisolateR1_00286	CDS	1206				hypothetical protein
53965_StreptomycesisolateR1_00287	CDS	1587	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
53965_StreptomycesisolateR1_00288	CDS	486		2.3.1.-		Acetyltransferase SACOL1063
53965_StreptomycesisolateR1_00289	CDS	945		5.4.99.-	COG0564	Uncharacterized RNA pseudouridine synthase Rv1540
53965_StreptomycesisolateR1_00290	CDS	606	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
53965_StreptomycesisolateR1_00291	CDS	762	dksA_1			RNA polymerase-binding transcription factor DksA
53965_StreptomycesisolateR1_00292	CDS	3147	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
53965_StreptomycesisolateR1_00293	CDS	1173				hypothetical protein
53965_StreptomycesisolateR1_00294	CDS	285				hypothetical protein
53965_StreptomycesisolateR1_00295	CDS	642	sepF_1			Cell division protein SepF
53965_StreptomycesisolateR1_00296	CDS	720			COG0325	Pyridoxal phosphate homeostasis protein
53965_StreptomycesisolateR1_00297	CDS	729		1.10.3.-	COG1496	Polyphenol oxidase
53965_StreptomycesisolateR1_00298	CDS	1209	ftsZ		COG0206	Cell division protein FtsZ
53965_StreptomycesisolateR1_00299	CDS	795	ftsQ		COG1589	Cell division protein FtsQ
53965_StreptomycesisolateR1_00300	CDS	1095	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
53965_StreptomycesisolateR1_00301	CDS	1371	ftsW	2.4.1.129	COG0772	Probable peptidoglycan glycosyltransferase FtsW
53965_StreptomycesisolateR1_00302	CDS	1443	murD_1	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
53965_StreptomycesisolateR1_00303	CDS	1095	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
53965_StreptomycesisolateR1_00304	CDS	1431	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
